Category,OrderDate,Sales
Beverages,2015/2/24,672
Beverages,2015/2/27,1960
Oil & Masala,2015/3/1,1774
Bakery,2015/3/1,1023
Oil & Masala,2015/3/1,2262
"Eggs, Meat & Fish",2015/3/1,527
Fruits & Veggies,2015/3/1,1620
Beverages,2015/3/1,1228
Fruits & Veggies,2015/3/1,851
Beverages,2015/3/1,1818
Snacks,2015/3/1,1822
Beverages,2015/3/1,2238
"Eggs, Meat & Fish",2015/3/2,1919
Food Grains,2015/3/2,2400
Oil & Masala,2015/3/2,1733
Snacks,2015/3/2,1823
"Eggs, Meat & Fish",2015/3/3,861
Beverages,2015/3/3,2413
Snacks,2015/3/3,1719
Fruits & Veggies,2015/3/3,1393
"Eggs, Meat & Fish",2015/3/3,1570
"Eggs, Meat & Fish",2015/3/3,2173
"Eggs, Meat & Fish",2015/3/3,2079
"Eggs, Meat & Fish",2015/3/3,2472
Oil & Masala,2015/3/3,1289
Snacks,2015/3/4,1304
Food Grains,2015/3/4,1450
"Eggs, Meat & Fish",2015/3/5,1568
Bakery,2015/3/5,1330
Beverages,2015/3/5,2321
Food Grains,2015/3/5,2433
Snacks,2015/3/5,948
Snacks,2015/3/7,610
Oil & Masala,2015/3/7,2014
Bakery,2015/3/7,578
"Eggs, Meat & Fish",2015/3/7,823
Beverages,2015/3/7,2290
Fruits & Veggies,2015/3/7,1182
"Eggs, Meat & Fish",2015/3/7,997
Snacks,2015/3/7,1654
"Eggs, Meat & Fish",2015/3/10,2275
Snacks,2015/3/10,2076
"Eggs, Meat & Fish",2015/3/10,1541
Bakery,2015/3/11,1189
Bakery,2015/3/11,752
"Eggs, Meat & Fish",2015/3/11,1008
Fruits & Veggies,2015/3/11,2251
Fruits & Veggies,2015/3/11,2401
Bakery,2015/3/11,2381
"Eggs, Meat & Fish",2015/3/11,1975
Oil & Masala,2015/3/11,1400
Beverages,2015/3/14,1146
"Eggs, Meat & Fish",2015/3/14,1882
Bakery,2015/3/14,2233
Fruits & Veggies,2015/3/14,1233
"Eggs, Meat & Fish",2015/3/14,1414
Oil & Masala,2015/3/14,886
Beverages,2015/3/14,2018
Beverages,2015/3/14,1850
Oil & Masala,2015/3/14,2331
Bakery,2015/3/14,1985
Oil & Masala,2015/3/14,1572
Oil & Masala,2015/3/15,2289
Snacks,2015/3/15,2110
Beverages,2015/3/15,1577
Beverages,2015/3/15,2092
Beverages,2015/3/15,2269
Snacks,2015/3/16,2029
Beverages,2015/3/17,1839
Snacks,2015/3/17,1126
Oil & Masala,2015/3/17,2189
Bakery,2015/3/17,1727
Bakery,2015/3/17,2191
Beverages,2015/3/17,2433
Fruits & Veggies,2015/3/17,730
"Eggs, Meat & Fish",2015/3/17,2351
Oil & Masala,2015/3/17,640
Oil & Masala,2015/3/17,2009
Oil & Masala,2015/3/17,1519
"Eggs, Meat & Fish",2015/3/17,1318
Snacks,2015/3/17,2390
Food Grains,2015/3/17,792
"Eggs, Meat & Fish",2015/3/17,697
Snacks,2015/3/17,1234
Beverages,2015/3/17,1890
Fruits & Veggies,2015/3/17,1082
Beverages,2015/3/17,1576
Snacks,2015/3/18,1694
Oil & Masala,2015/3/18,978
Snacks,2015/3/18,983
Snacks,2015/3/18,1534
Fruits & Veggies,2015/3/18,1970
Fruits & Veggies,2015/3/18,618
"Eggs, Meat & Fish",2015/3/18,876
Snacks,2015/3/18,1647
Beverages,2015/3/18,2379
Snacks,2015/3/18,1843
Bakery,2015/3/18,1418
Fruits & Veggies,2015/3/19,824
Beverages,2015/3/19,2306
Bakery,2015/3/19,531
Bakery,2015/3/19,1818
"Eggs, Meat & Fish",2015/3/19,2221
Beverages,2015/3/19,1253
Bakery,2015/3/19,1105
Oil & Masala,2015/3/21,1006
Bakery,2015/3/21,1409
Snacks,2015/3/21,885
Snacks,2015/3/21,2230
Food Grains,2015/3/21,2362
Fruits & Veggies,2015/3/21,1366
Snacks,2015/3/21,915
"Eggs, Meat & Fish",2015/3/21,2298
Bakery,2015/3/21,1987
Beverages,2015/3/21,2408
Snacks,2015/3/21,1192
Bakery,2015/3/22,1410
Food Grains,2015/3/22,2173
Bakery,2015/3/22,2264
Fruits & Veggies,2015/3/22,668
Oil & Masala,2015/3/22,2140
Food Grains,2015/3/23,2180
Food Grains,2015/3/23,1151
Beverages,2015/3/23,1813
"Eggs, Meat & Fish",2015/3/24,1758
Oil & Masala,2015/3/24,2053
Bakery,2015/3/25,1864
Beverages,2015/3/25,2137
"Eggs, Meat & Fish",2015/3/25,1951
Beverages,2015/3/25,1539
Fruits & Veggies,2015/3/25,2264
"Eggs, Meat & Fish",2015/3/26,1953
Beverages,2015/3/26,709
Food Grains,2015/3/26,2396
Beverages,2015/3/26,697
Fruits & Veggies,2015/3/26,1449
Fruits & Veggies,2015/3/28,959
"Eggs, Meat & Fish",2015/3/28,1067
Oil & Masala,2015/3/28,783
Beverages,2015/3/28,2028
Food Grains,2015/3/29,1726
Oil & Masala,2015/3/30,2055
Fruits & Veggies,2015/3/30,1738
Oil & Masala,2015/3/30,735
Beverages,2015/3/30,763
Fruits & Veggies,2015/3/30,1415
Bakery,2015/3/30,2392
Beverages,2015/3/30,520
Food Grains,2015/3/30,845
Food Grains,2015/3/30,559
Fruits & Veggies,2015/3/31,723
Snacks,2015/3/31,2330
Beverages,2015/3/31,989
Oil & Masala,2015/3/31,640
Fruits & Veggies,2015/3/31,862
Snacks,2015/3/31,1055
Oil & Masala,2015/3/31,1174
Food Grains,2015/3/31,2150
"Eggs, Meat & Fish",2015/3/31,616
"Eggs, Meat & Fish",2015/4/1,827
Oil & Masala,2015/4/1,2308
Oil & Masala,2015/4/1,2372
Beverages,2015/4/1,1073
Snacks,2015/4/2,1134
Snacks,2015/4/2,2023
Beverages,2015/4/2,1517
Oil & Masala,2015/4/2,1776
Fruits & Veggies,2015/4/2,1826
Oil & Masala,2015/4/2,1664
Oil & Masala,2015/4/3,1416
"Eggs, Meat & Fish",2015/4/3,2209
Fruits & Veggies,2015/4/3,1900
Oil & Masala,2015/4/4,1075
Fruits & Veggies,2015/4/4,1500
Snacks,2015/4/4,1613
Oil & Masala,2015/4/4,1904
Fruits & Veggies,2015/4/4,1593
Bakery,2015/4/4,1501
Snacks,2015/4/4,983
"Eggs, Meat & Fish",2015/4/4,1016
Food Grains,2015/4/5,2371
Food Grains,2015/4/5,985
Bakery,2015/4/5,2052
Oil & Masala,2015/4/5,1143
Snacks,2015/4/5,1495
Snacks,2015/4/5,2349
Fruits & Veggies,2015/4/5,565
Oil & Masala,2015/4/5,1108
Oil & Masala,2015/4/5,1472
"Eggs, Meat & Fish",2015/4/5,1882
Beverages,2015/4/5,1471
Snacks,2015/4/5,2123
Snacks,2015/4/5,1844
Beverages,2015/4/6,627
Fruits & Veggies,2015/4/6,1146
Beverages,2015/4/6,1024
Snacks,2015/4/6,1000
"Eggs, Meat & Fish",2015/4/6,823
Snacks,2015/4/6,1468
Oil & Masala,2015/4/6,1556
Beverages,2015/4/6,1801
Snacks,2015/4/6,813
Fruits & Veggies,2015/4/6,2259
Snacks,2015/4/6,1869
Bakery,2015/4/6,701
"Eggs, Meat & Fish",2015/4/6,523
Bakery,2015/4/7,589
Fruits & Veggies,2015/4/7,1125
Bakery,2015/4/7,2156
Oil & Masala,2015/4/7,1486
Oil & Masala,2015/4/7,1337
Oil & Masala,2015/4/8,2451
Beverages,2015/4/8,1955
Snacks,2015/4/8,640
Snacks,2015/4/8,1523
Beverages,2015/4/8,1659
Snacks,2015/4/8,978
Oil & Masala,2015/4/8,2330
Fruits & Veggies,2015/4/11,1374
"Eggs, Meat & Fish",2015/4/11,2221
Bakery,2015/4/11,1359
Beverages,2015/4/11,1784
Beverages,2015/4/11,1867
Oil & Masala,2015/4/11,682
Oil & Masala,2015/4/11,1455
"Eggs, Meat & Fish",2015/4/11,1559
Bakery,2015/4/11,1651
Fruits & Veggies,2015/4/12,1926
Fruits & Veggies,2015/4/12,1890
Bakery,2015/4/12,1074
Oil & Masala,2015/4/12,1059
Beverages,2015/4/12,1554
Oil & Masala,2015/4/12,1200
Oil & Masala,2015/4/13,1697
Beverages,2015/4/13,2095
"Eggs, Meat & Fish",2015/4/13,1132
Fruits & Veggies,2015/4/13,1561
"Eggs, Meat & Fish",2015/4/13,1716
"Eggs, Meat & Fish",2015/4/15,2329
Oil & Masala,2015/4/15,2286
Snacks,2015/4/16,1748
Beverages,2015/4/18,2314
Food Grains,2015/4/18,1792
Fruits & Veggies,2015/4/18,1028
"Eggs, Meat & Fish",2015/4/18,2389
Fruits & Veggies,2015/4/18,2044
Bakery,2015/4/18,1342
Beverages,2015/4/18,1350
Beverages,2015/4/18,2095
Food Grains,2015/4/19,2287
Bakery,2015/4/19,2341
Bakery,2015/4/19,1575
Beverages,2015/4/20,2131
Beverages,2015/4/20,1030
Fruits & Veggies,2015/4/20,801
Bakery,2015/4/20,2363
Food Grains,2015/4/21,1344
Oil & Masala,2015/4/21,1143
Beverages,2015/4/22,770
Food Grains,2015/4/22,1780
Oil & Masala,2015/4/23,2181
Food Grains,2015/4/23,672
Snacks,2015/4/23,1229
Oil & Masala,2015/4/23,1630
Fruits & Veggies,2015/4/23,2402
Oil & Masala,2015/4/23,866
Snacks,2015/4/25,1553
"Eggs, Meat & Fish",2015/4/25,1108
Oil & Masala,2015/4/25,2139
"Eggs, Meat & Fish",2015/4/25,2145
"Eggs, Meat & Fish",2015/4/25,1881
Fruits & Veggies,2015/4/25,2344
Food Grains,2015/4/26,828
Snacks,2015/4/26,1184
Bakery,2015/4/26,1244
"Eggs, Meat & Fish",2015/4/26,1265
Beverages,2015/4/28,2018
Beverages,2015/4/28,876
Oil & Masala,2015/4/28,725
Beverages,2015/4/28,1797
Snacks,2015/4/28,2020
Fruits & Veggies,2015/4/28,1077
Beverages,2015/4/28,1027
Snacks,2015/4/28,644
Snacks,2015/4/28,719
Snacks,2015/4/29,804
Beverages,2015/4/29,1102
"Eggs, Meat & Fish",2015/4/29,1243
Snacks,2015/4/29,1531
Food Grains,2015/4/29,570
Food Grains,2015/4/29,1705
Snacks,2015/4/30,2032
"Eggs, Meat & Fish",2015/4/30,870
Oil & Masala,2015/4/30,760
Bakery,2015/5/2,2463
Oil & Masala,2015/5/2,537
Bakery,2015/5/3,994
Food Grains,2015/5/3,558
"Eggs, Meat & Fish",2015/5/3,1407
Beverages,2015/5/4,1055
Oil & Masala,2015/5/4,1347
Food Grains,2015/5/4,1399
Fruits & Veggies,2015/5/4,2244
"Eggs, Meat & Fish",2015/5/4,933
Oil & Masala,2015/5/4,590
Snacks,2015/5/5,1756
Oil & Masala,2015/5/5,2240
Oil & Masala,2015/5/5,1898
Food Grains,2015/5/5,2155
Fruits & Veggies,2015/5/5,1094
"Eggs, Meat & Fish",2015/5/5,1173
Oil & Masala,2015/5/5,1245
Bakery,2015/5/6,1015
Oil & Masala,2015/5/6,1098
Food Grains,2015/5/6,1398
Fruits & Veggies,2015/5/7,512
"Eggs, Meat & Fish",2015/5/7,989
Oil & Masala,2015/5/7,1195
Beverages,2015/5/7,815
Oil & Masala,2015/5/8,828
Snacks,2015/5/9,506
Snacks,2015/5/9,1291
Bakery,2015/5/9,1904
Fruits & Veggies,2015/5/9,968
Oil & Masala,2015/5/9,2357
"Eggs, Meat & Fish",2015/5/9,1343
Fruits & Veggies,2015/5/10,1259
"Eggs, Meat & Fish",2015/5/10,2038
Snacks,2015/5/10,1272
"Eggs, Meat & Fish",2015/5/10,950
Beverages,2015/5/10,1525
Oil & Masala,2015/5/10,851
Oil & Masala,2015/5/10,1561
"Eggs, Meat & Fish",2015/5/10,2442
Snacks,2015/5/11,2289
Fruits & Veggies,2015/5/11,898
"Eggs, Meat & Fish",2015/5/11,2017
Bakery,2015/5/11,2143
Fruits & Veggies,2015/5/11,973
"Eggs, Meat & Fish",2015/5/11,627
Bakery,2015/5/11,653
Fruits & Veggies,2015/5/11,1519
Oil & Masala,2015/5/12,905
Food Grains,2015/5/12,1270
Beverages,2015/5/13,1617
"Eggs, Meat & Fish",2015/5/13,1705
"Eggs, Meat & Fish",2015/5/13,1568
Fruits & Veggies,2015/5/13,2061
"Eggs, Meat & Fish",2015/5/13,1024
Fruits & Veggies,2015/5/13,899
Food Grains,2015/5/14,1000
Beverages,2015/5/16,582
Beverages,2015/5/16,734
Snacks,2015/5/17,767
"Eggs, Meat & Fish",2015/5/18,635
Oil & Masala,2015/5/18,1734
Beverages,2015/5/18,757
Beverages,2015/5/18,1370
Beverages,2015/5/19,610
Food Grains,2015/5/19,1464
Snacks,2015/5/20,1925
Snacks,2015/5/20,619
Snacks,2015/5/20,656
Oil & Masala,2015/5/20,640
Fruits & Veggies,2015/5/20,2104
Food Grains,2015/5/20,508
Fruits & Veggies,2015/5/20,2331
Snacks,2015/5/21,807
Fruits & Veggies,2015/5/21,575
Food Grains,2015/5/21,2016
Beverages,2015/5/21,593
Beverages,2015/5/21,1064
Bakery,2015/5/21,511
Beverages,2015/5/21,1377
Food Grains,2015/5/21,2352
"Eggs, Meat & Fish",2015/5/21,1220
Bakery,2015/5/21,1500
Oil & Masala,2015/5/22,1798
"Eggs, Meat & Fish",2015/5/22,983
Oil & Masala,2015/5/23,1426
"Eggs, Meat & Fish",2015/5/23,1895
Fruits & Veggies,2015/5/23,580
Oil & Masala,2015/5/23,573
Oil & Masala,2015/5/23,2238
Snacks,2015/5/23,1811
Bakery,2015/5/23,520
Bakery,2015/5/24,1505
Food Grains,2015/5/25,592
Bakery,2015/5/25,939
Bakery,2015/5/25,1127
Oil & Masala,2015/5/26,2305
Beverages,2015/5/26,2405
"Eggs, Meat & Fish",2015/5/26,2090
Oil & Masala,2015/5/26,1980
Snacks,2015/5/26,720
Fruits & Veggies,2015/5/26,1546
Fruits & Veggies,2015/5/26,1309
Beverages,2015/5/26,661
Oil & Masala,2015/5/27,637
"Eggs, Meat & Fish",2015/5/27,516
Fruits & Veggies,2015/5/27,2351
"Eggs, Meat & Fish",2015/5/27,1878
"Eggs, Meat & Fish",2015/5/27,1841
Fruits & Veggies,2015/5/28,901
Beverages,2015/5/28,2444
Oil & Masala,2015/5/28,2115
Snacks,2015/5/30,2031
Bakery,2015/5/30,704
Fruits & Veggies,2015/5/30,1862
Oil & Masala,2015/5/30,1979
Snacks,2015/5/30,2207
Beverages,2015/5/30,1235
Food Grains,2015/5/30,1824
Bakery,2015/5/30,1239
"Eggs, Meat & Fish",2015/5/31,2075
Fruits & Veggies,2015/5/31,1597
Bakery,2015/6/1,817
"Eggs, Meat & Fish",2015/6/1,2462
Fruits & Veggies,2015/6/1,962
Beverages,2015/6/1,538
Snacks,2015/6/1,1556
Fruits & Veggies,2015/6/1,2396
Oil & Masala,2015/6/1,1677
Beverages,2015/6/1,815
"Eggs, Meat & Fish",2015/6/1,2318
Bakery,2015/6/1,1666
Bakery,2015/6/1,894
"Eggs, Meat & Fish",2015/6/2,544
Fruits & Veggies,2015/6/2,1271
Snacks,2015/6/2,1065
Oil & Masala,2015/6/2,1574
Bakery,2015/6/2,2114
Snacks,2015/6/3,2491
Oil & Masala,2015/6/3,799
Food Grains,2015/6/3,794
"Eggs, Meat & Fish",2015/6/3,2368
Food Grains,2015/6/3,1789
Oil & Masala,2015/6/4,1566
Bakery,2015/6/4,832
Food Grains,2015/6/4,760
Bakery,2015/6/4,2122
Fruits & Veggies,2015/6/4,1990
Oil & Masala,2015/6/6,1623
Bakery,2015/6/6,1885
Oil & Masala,2015/6/6,1660
Fruits & Veggies,2015/6/6,959
Fruits & Veggies,2015/6/6,2327
Snacks,2015/6/6,657
Bakery,2015/6/6,2493
"Eggs, Meat & Fish",2015/6/6,1857
Beverages,2015/6/6,908
Oil & Masala,2015/6/7,1912
Snacks,2015/6/7,1857
Oil & Masala,2015/6/8,1008
Food Grains,2015/6/8,1593
Oil & Masala,2015/6/8,2375
Beverages,2015/6/8,537
Food Grains,2015/6/9,2305
Fruits & Veggies,2015/6/9,826
Fruits & Veggies,2015/6/9,1847
Bakery,2015/6/9,791
Bakery,2015/6/9,1795
Snacks,2015/6/9,1903
"Eggs, Meat & Fish",2015/6/9,701
Snacks,2015/6/9,1637
Snacks,2015/6/9,2232
Bakery,2015/6/9,1917
Food Grains,2015/6/9,1426
Bakery,2015/6/9,1263
Bakery,2015/6/9,697
Bakery,2015/6/9,726
Fruits & Veggies,2015/6/9,1355
"Eggs, Meat & Fish",2015/6/9,1813
Food Grains,2015/6/10,829
"Eggs, Meat & Fish",2015/6/13,674
Fruits & Veggies,2015/6/14,563
Beverages,2015/6/15,1008
"Eggs, Meat & Fish",2015/6/15,1539
Oil & Masala,2015/6/15,2459
Beverages,2015/6/15,2078
Snacks,2015/6/16,1872
"Eggs, Meat & Fish",2015/6/16,2126
Beverages,2015/6/16,2083
"Eggs, Meat & Fish",2015/6/16,2346
"Eggs, Meat & Fish",2015/6/17,2157
"Eggs, Meat & Fish",2015/6/17,1990
Snacks,2015/6/17,674
"Eggs, Meat & Fish",2015/6/17,1426
"Eggs, Meat & Fish",2015/6/17,2251
"Eggs, Meat & Fish",2015/6/18,1151
Bakery,2015/6/20,1866
Snacks,2015/6/20,560
"Eggs, Meat & Fish",2015/6/20,1636
Food Grains,2015/6/20,1512
"Eggs, Meat & Fish",2015/6/20,717
Snacks,2015/6/20,2372
Bakery,2015/6/20,2017
Snacks,2015/6/20,637
Beverages,2015/6/20,797
Food Grains,2015/6/21,2427
Food Grains,2015/6/21,2231
"Eggs, Meat & Fish",2015/6/21,1163
Oil & Masala,2015/6/21,2101
Bakery,2015/6/21,1614
"Eggs, Meat & Fish",2015/6/21,1065
Fruits & Veggies,2015/6/21,1951
Food Grains,2015/6/21,2370
Snacks,2015/6/21,615
Snacks,2015/6/21,2073
"Eggs, Meat & Fish",2015/6/21,741
Bakery,2015/6/21,2011
Oil & Masala,2015/6/21,1331
Food Grains,2015/6/21,1874
"Eggs, Meat & Fish",2015/6/21,1044
Snacks,2015/6/21,1775
"Eggs, Meat & Fish",2015/6/21,998
"Eggs, Meat & Fish",2015/6/21,1944
Fruits & Veggies,2015/6/22,1621
Snacks,2015/6/22,2027
"Eggs, Meat & Fish",2015/6/22,750
Snacks,2015/6/22,1728
Bakery,2015/6/22,1204
Food Grains,2015/6/22,1173
Oil & Masala,2015/6/22,1465
Food Grains,2015/6/23,502
Oil & Masala,2015/6/23,1000
Fruits & Veggies,2015/6/23,2050
Fruits & Veggies,2015/6/24,2032
"Eggs, Meat & Fish",2015/6/25,2072
Oil & Masala,2015/6/25,617
Bakery,2015/6/25,2321
Beverages,2015/6/25,691
Fruits & Veggies,2015/6/27,1624
Beverages,2015/6/27,2179
Snacks,2015/6/27,2295
Bakery,2015/6/28,2081
Snacks,2015/6/28,2166
Beverages,2015/6/28,1152
Fruits & Veggies,2015/6/28,1831
Beverages,2015/6/28,2313
Fruits & Veggies,2015/6/28,1278
Snacks,2015/6/29,1026
Beverages,2015/6/29,870
"Eggs, Meat & Fish",2015/6/30,1009
Oil & Masala,2015/6/30,1897
"Eggs, Meat & Fish",2015/6/30,916
Oil & Masala,2015/6/30,2484
Bakery,2015/6/30,2091
Beverages,2015/6/30,820
Food Grains,2015/6/30,925
Beverages,2015/6/30,2121
Food Grains,2015/7/1,1596
Food Grains,2015/7/1,1685
Snacks,2015/7/1,2150
Oil & Masala,2015/7/2,929
Snacks,2015/7/2,1647
Food Grains,2015/7/4,2284
Snacks,2015/7/4,1071
Bakery,2015/7/4,2011
Beverages,2015/7/4,632
Oil & Masala,2015/7/5,1130
Oil & Masala,2015/7/5,960
Bakery,2015/7/5,2142
Oil & Masala,2015/7/5,1092
Food Grains,2015/7/5,1848
Food Grains,2015/7/5,568
Bakery,2015/7/5,1589
Bakery,2015/7/5,949
"Eggs, Meat & Fish",2015/7/5,2475
Food Grains,2015/7/5,1380
"Eggs, Meat & Fish",2015/7/6,2420
Snacks,2015/7/6,1645
"Eggs, Meat & Fish",2015/7/7,865
"Eggs, Meat & Fish",2015/7/7,1801
Fruits & Veggies,2015/7/8,1998
"Eggs, Meat & Fish",2015/7/8,504
Fruits & Veggies,2015/7/8,2455
Snacks,2015/7/9,1061
"Eggs, Meat & Fish",2015/7/9,1853
Fruits & Veggies,2015/7/9,1764
Snacks,2015/7/9,1883
Food Grains,2015/7/9,2070
Fruits & Veggies,2015/7/9,2159
Bakery,2015/7/9,1694
Food Grains,2015/7/9,1337
Food Grains,2015/7/9,786
Oil & Masala,2015/7/11,1818
Beverages,2015/7/11,1580
Bakery,2015/7/11,1653
Bakery,2015/7/11,2245
Snacks,2015/7/11,1046
"Eggs, Meat & Fish",2015/7/11,1848
Food Grains,2015/7/11,754
"Eggs, Meat & Fish",2015/7/11,1329
"Eggs, Meat & Fish",2015/7/11,2153
Food Grains,2015/7/11,1271
Bakery,2015/7/12,1179
Food Grains,2015/7/12,1127
Fruits & Veggies,2015/7/12,571
Bakery,2015/7/12,2303
Food Grains,2015/7/12,2050
"Eggs, Meat & Fish",2015/7/12,1431
Oil & Masala,2015/7/12,895
"Eggs, Meat & Fish",2015/7/12,2244
Snacks,2015/7/12,2113
Fruits & Veggies,2015/7/12,2156
Food Grains,2015/7/12,971
Bakery,2015/7/12,1195
Oil & Masala,2015/7/13,947
Snacks,2015/7/14,2038
Food Grains,2015/7/14,833
Food Grains,2015/7/14,1500
Food Grains,2015/7/14,592
Beverages,2015/7/14,849
Beverages,2015/7/14,931
Food Grains,2015/7/14,1322
Snacks,2015/7/14,2310
Fruits & Veggies,2015/7/14,1168
Fruits & Veggies,2015/7/15,1911
Food Grains,2015/7/15,1617
Bakery,2015/7/18,1741
Bakery,2015/7/18,1840
Oil & Masala,2015/7/19,1178
"Eggs, Meat & Fish",2015/7/19,552
Beverages,2015/7/19,1753
"Eggs, Meat & Fish",2015/7/19,2406
Food Grains,2015/7/19,1074
Fruits & Veggies,2015/7/20,1008
Bakery,2015/7/20,2304
Bakery,2015/7/20,1393
Oil & Masala,2015/7/20,1414
Oil & Masala,2015/7/20,589
Bakery,2015/7/20,2458
Oil & Masala,2015/7/20,2429
Food Grains,2015/7/20,2134
"Eggs, Meat & Fish",2015/7/20,1104
Snacks,2015/7/20,2001
Snacks,2015/7/20,1790
Food Grains,2015/7/20,1368
Fruits & Veggies,2015/7/20,823
Oil & Masala,2015/7/20,2074
Fruits & Veggies,2015/7/20,876
Oil & Masala,2015/7/21,2345
Snacks,2015/7/21,1341
Beverages,2015/7/21,1237
Beverages,2015/7/21,703
Beverages,2015/7/21,1892
Bakery,2015/7/21,886
Bakery,2015/7/21,1279
Food Grains,2015/7/21,2144
Bakery,2015/7/22,673
Food Grains,2015/7/22,2092
Beverages,2015/7/22,1188
Food Grains,2015/7/22,1707
Oil & Masala,2015/7/22,1878
Oil & Masala,2015/7/22,1924
Fruits & Veggies,2015/7/22,2331
"Eggs, Meat & Fish",2015/7/22,1667
Bakery,2015/7/23,1665
Beverages,2015/7/23,1309
Oil & Masala,2015/7/23,905
"Eggs, Meat & Fish",2015/7/23,2271
Snacks,2015/7/23,809
Snacks,2015/7/23,826
Oil & Masala,2015/7/23,2331
Bakery,2015/7/23,1917
"Eggs, Meat & Fish",2015/7/23,2278
Oil & Masala,2015/7/25,500
Food Grains,2015/7/25,559
Fruits & Veggies,2015/7/25,2263
Fruits & Veggies,2015/7/25,705
Bakery,2015/7/25,1653
Beverages,2015/7/26,2188
Snacks,2015/7/26,1660
